X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.081336,51.574058,0,0,48,20,2018/01/29 09:42:57+00,,,,,,,,,,,,,,,,,,,,,
0.081463,51.574008,0,0,49,20.2,2018/01/29 09:43:01+00,,,,,,,,,,,,,,,,,,,,,
0.081557,51.573992,0,0,50,20.4,2018/01/29 09:43:03+00,,,,,,,,,,,,,,,,,,,,,
0.08189,51.573934,0,0,51,21,2018/01/29 09:43:09+00,,,,,,,,,,,,,,,,,,,,,
0.08197,51.573927,0,0,52,21.1,2018/01/29 09:43:10+00,,,,,,,,,,,,,,,,,,,,,
0.082119,51.573905,0,0,53,21.1,2018/01/29 09:43:12+00,,,,,,,,,,,,,,,,,,,,,
0.082258,51.573874,0,0,54,21.2,2018/01/29 09:43:14+00,,,,,,,,,,,,,,,,,,,,,
0.0824,51.573842,0,0,55,21.3,2018/01/29 09:43:16+00,,,,,,,,,,,,,,,,,,,,,
0.082707,51.573787,0,0,56,21.4,2018/01/29 09:43:20+00,,,,,,,,,,,,,,,,,,,,,
0.083112,51.573749,0,0,57,21.3,2018/01/29 09:43:25+00,,,,,,,,,,,,,,,,,,,,,
0.083273,51.573734,0,0,58,21.2,2018/01/29 09:43:27+00,,,,,,,,,,,,,,,,,,,,,
0.083353,51.573729,0,0,59,21,2018/01/29 09:43:28+00,,,,,,,,,,,,,,,,,,,,,
0.083581,51.573722,0,0,60,20.4,2018/01/29 09:43:32+00,,,,,,,,,,,,,,,,,,,,,
0.083666,51.573722,0,0,61,20.3,2018/01/29 09:44:29+00,,,,,,,,,,,,,,,,,,,,,
0.083768,51.573732,0,0,62,20.1,2018/01/29 09:44:32+00,,,,,,,,,,,,,,,,,,,,,
